name	symbol	planted	obs.2020-05-16
grand fir	Abies grandis	abgr	5	0
vine maple	Acer circinatum	acci	20	6
red alder	Alnus rubra	alru	10	3
oregon grape	Berberis nervosa	bene	50	3
pacific dogwood	Cornus nuttallii	conu	5	0
beaked hazelnut	Corylus cornuta var californica	coco	20	6
salal	Gaulternia shallon	 gash	50	0
indian plum	Oemleria cerasiformis	oece	50	6
baldhip rose	Rosa gymnocarpa	rogy	20	11
scouler willow	Salix scoulerianna	sasc	5	0
snowberry 	Symphoricarpos albus var laevigtatus	syal	40	40
pacific yew	Taxus brevifolia	tabr	5	0
foamflower	Tiarella trifoliata var trifoliata	titr	50	0
hemlock	Tsuga heterophylla	tshe	10	6
huckleberry	Vaccinatum ovatum	vaoc	50	32
ocean spray	Holodiscus discolor	hodi	10	9  



