species	date	lat	lon	distance	direction	dbh	status	low	mid	high
hemlock	2023-08-01	47.553842	122.250152	37	258	2	diseased	2	2	2
grandFir	2023-08-01	47.553108	122.250461	12	100	1	diseased	0	1	3
alder	2023-08-01	47.55302	122.25066	11	274	2	dead	0	0	0
cedar	2023-08-01	47.553237	122.25047	47	288	3	diseased	0	1	2
cedar	2023-08-01	47.55317	122.250401	40	275	4	diseased	0	1	3
cedar	2023-08-01	47.553563	122.250147	73	90	3	snag	0	0	0
cherry	2023-08-01	47.553715	122.250079	16	268	1	diseased	1	1	0
dougFir	2023-08-01	47.553952	122.250201	11	260	6	snag	0	0	0
madrone	2023-08-01	47.55572	122.250734	17	214	2	diseased	0	0	3
hemlock	2023-08-01	47.553842	122.250152	37	258	6	snag	0	0	0
yew	2023-08-01	47.553142	122.250434	29	107	0.5	diseased	0	0	2
hemlock	2023-08-01	47.553138	122.250307	35	97	2	diseased	0	2	2
madrone	2023-08-01	47.555948	122.250932	69	198	2	dead	0	0	0
dougFir	2023-08-01	47.554988	122.250081	46	47	3	snag	0	0	0
maple	2023-08-01	47.554907	122.250291	21	227	1	dead	1	0	0
madrone	2023-08-01	47.555977	122.250961	28	55	1	dead	0	0	0
maple	2023-08-01	47.554757	122.250062	11	204	1	diseased	1	0	0
hemlock	2023-08-01	47.554177	122.250074	15	236	1	dead	0	0	0
hemlock	2023-08-01	47.553475	122.250196	42	108	1	diseased	0	1	3
maple	2023-08-01	47.558682	122.251321	26	353	0.5	diseased	0	1	2
hemlock	2023-08-01	47.558407	122.251079	11	170	1	diseased	0	1	1
maple	2023-08-01	47.55824	122.250809	20	38	0.25	dead	0	0	0
hemlock	2023-08-01	47.55824	122.250809	27	71	2.5	stump	0	0	0
alder	2023-08-01	47.558052	122.250381	47	163	2	dead	0	0	0
dougFir	2023-08-01	47.558208	122.250049	26	100	5	stump	0	0	1
alder	2023-08-01	47.55826	122.250057	8	92	1.5	stump	0	0	0
hemlock	2023-08-01	47.558277	122.249882	49	74	2	diseased	0	0	1
cedar	2023-08-01	47.558467	122.249907	14	259	2.5	dead	0	0	0
maple	2023-08-01	47.558765	122.249874	15	68	5	diseased	0	1	3
hemlock	2023-08-01	47.558905	122.249801	13	67	0.5	diseased	0	0	2
hemlock	2023-08-01	47.559575	122.250066	38	35	0.5	diseased	0	1	2
